,Layer,Filter,kernel,Stride,Output
0,Input,,,,"224x224x3"
1,Conv,16.0,3x3,1.0,"224x224x16"
2,MaxPooling,,2x2,2.0,"112x112x16"
3,Conv,32.0,3x3,1.0,"112x112x32"
4,MaxPooling,,2x2,2.0,"56x56x32"
5,Conv,64.0,3x3,1.0,"56x56x64"
6,MaxPooling,,2x2,2.0,"28x28x64"
7,Conv,128.0,3x3,1.0,"28x28x128"
8,MaxPooling,,2x2,2.0,"14x14x128"
9,Conv,256.0,3x3,1.0,"14x14x256"
10,MaxPooling,,2x2,2.0,"7x7x256"
11,Conv,512.0,3x3,1.0,"7x7x512"
12,Flatten,,,,"25088x1"
13,Dropout,,,,"0x0"
14,Fc,,,,"4096x1"
15,Dropout,,,,"0x0"
16,Fc,,,,"441x1"
17,Reshape,,,,"7x7x9"
